Source_Code,Source_Material
--?--,Unknown
_BLAST_LOC_SOURCE,Not Applicable
8903 ACC,NULL
8903 FAA,NULL
8903 PFC,NULL
8903 SPA,NULL
8903 SUB,NULL
8928 HWD,NULL
8928 HWS,NULL
8928 ODN,NULL
8928 ODS,NULL
8928 PFH,NULL
8928 SD,NULL
8928 SPA,NULL
8928 SPD,NULL
8928 SPN,NULL
8953 ODN,NULL
8953 PMP,NULL
8953 RAR,NULL
8953 SPA,NULL
8953 SPN,NULL
8973 JUP 38,NULL
8973 JUP 66,NULL
8973 SPA,NULL
8973 SPS,NULL
8993 JUP 47,NULL
8993 JUP 55,NULL
8993 JUP 60,NULL
8993 JUP 63,NULL
8993 JUP 66,NULL
8993 SPA,NULL
8993 SPN,NULL
8993 SPS,NULL
9018 JUP 60,NULL
9018 Jup 66,NULL
9018 SPA,NULL
9018 SPN,NULL
9018 SPS,NULL
9027 DD2,NULL
9027 DD3,NULL
9027 DD5,NULL
9027 DD6,NULL
9027 EXD,NULL
9027 SPA,NULL
9043 RAR,NULL
9120 CAL 26,NULL
9142 OPA,NULL
9142 SPA,NULL
9164 Cal 31,NULL
9164 Cal 35,NULL
9164 OPA,NULL
9164 SPS,NULL
AFR_STA_01,No Material
AGA_MBF_BF_1,Backfill
AGA_MOP_LO_1,Low Grade Oxide
AGA_MOP_PO_1,Poor Grade Oxide
APH1,NULL
APH2,NULL
APL_MOP_HF_1,High Grade Fresh
APL_MOP_HF_2,High Grade Fresh
APL_MOP_LF_1,Low Grade Fresh
APL_MOP_PO_1,Poor Grade Oxide
APL_MOP_PO_2,Poor Grade Oxide
APL_MWD_WM_1,Waste Mixture
APL1,NULL
APP1,NULL
APP2,NULL
ARG - N14 16 C102,NULL
ARG - N1412 A1 SP,NULL
ARG - ND SP23,NULL
ARG- N1414 B1 03,NULL
ARG- N36 29A102 SP,NULL
ARG____________DEC,Waste
ARG____________POR,Waste
ARG_______MB2__ACC,Waste
ARG___N36__A01_07S,NULL
ARG___N36__A01_DEC,NULL
ARG___N36__A01_ODN,NULL
ARG___N36__A01_ODS,NULL
ARG___N36__A01_SPA,NULL
ARG___N36__A01_SPN,NULL
ARG___N37__A01_04N,NULL
ARG___N37__A01_04S,NULL
ARG___N37__A01_DEC,NULL
ARG___N37__A01_ODN,NULL
ARG___N37__A01_ODS,NULL
ARG___N37__A01_SPD,NULL
ARG___N37__A01_SPN,NULL
ARG___N38__A01_01N,NULL
ARG___N38__A01_01S,NULL
ARG___N38__A01_DEC,NULL
ARG___N38__A01_EXD,NULL
ARG___N38__A01_ODN,NULL
ARG___N38__A01_ODS,NULL
ARG___N38__A01_SPA,NULL
ARG__N38B__A01_01N,NULL
ARG__N38B__A01_ODN,NULL
ARG__N38B__A01_SPN,NULL
ARG_8953_JUP_066,NULL
ARG_8993_JUP_053,NULL
ARG_DUMMY_1,Unknown
ARG_DUMMY_10,Unknown
ARG_DUMMY_2,Unknown
ARG_DUMMY_3,Unknown
ARG_DUMMY_4,Unknown
ARG_DUMMY_5,Unknown
ARG_DUMMY_6,Unknown
ARG_DUMMY_7,Unknown
ARG_DUMMY_8,Unknown
ARG_DUMMY_9,Unknown
ARG_FUE_01,Unknown
ARG_FUE_2,Unknown
ARG_GBY_1,Unknown
ARG_MOP_HF_1,High Grade Fresh
ARG_MOP_HF_2,High Grade Fresh
ARG_MOP_HF_3,High Grade Fresh
ARG_MOP_HF_4,High Grade Fresh
ARG_MOP_HF_5,High Grade Fresh
ARG_MOP_PM_1,Poor Grade Mixture
